Data set for transition bands 0.5%..25%, using the "Blackman-Nuttall" window
----------------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
8.1808623700e-001	3.8112697891e+001	2.2483557361e-001	4.3330820074e-001	-60.004481	-58.44718	-3.00853
8.3180057253e-001	4.1232745075e+001	2.0789278437e-001	4.3330820074e-001	-59.147607	-57.85383	-3.01081
8.4443261189e-001	4.4677529651e+001	1.9243021551e-001	4.3330820074e-001	-59.287939	-57.68289	-2.99877
8.5981642105e-001	4.8265976720e+001	1.7412686128e-001	4.3330820074e-001	-52.585691	-55.83367	-3.00796
8.6799294721e-001	5.2592440347e+001	1.6328569938e-001	4.3330820074e-001	-59.020989	-57.66864	-3.00070
8.7881965781e-001	5.7138974511e+001	1.4984227191e-001	4.3330820074e-001	-58.784077	-57.78464	-3.01074
8.8893945323e-001	6.2137347183e+001	1.3739342235e-001	4.3330820074e-001	-58.637768	-57.86879	-3.00950
8.9902550708e-001	6.7584259729e+001	1.2526447190e-001	4.3330820074e-001	-56.640535	-56.54723	-3.01213
9.0640454993e-001	7.3737461617e+001	1.1582132346e-001	4.3330820074e-001	-58.376319	-57.71184	-3.01046
9.1520594354e-001	8.0331173875e+001	1.0519505852e-001	4.3330820074e-001	-54.355436	-56.45421	-3.00888
9.2210951930e-001	8.7702732557e+001	9.6570538396e-002	4.3330820074e-001	-56.722335	-56.64842	-3.01005
9.2867200036e-001	9.5791277201e+001	8.8431946159e-002	4.3330820074e-001	-56.747043	-56.67773	-3.01007
9.3410861412e-001	1.0475713770e+002	8.1538377667e-002	4.3330820074e-001	-58.002179	-57.49923	-3.00924
9.4012155555e-001	1.1449583147e+002	7.4198714367e-002	4.3330820074e-001	-56.921827	-56.84772	-3.01129
9.4500236164e-001	1.2529492403e+002	6.8060405951e-002	4.3330820074e-001	-57.834047	-57.45516	-3.01303
9.4975600263e-001	1.3713458894e+002	6.2193067529e-002	4.3330820074e-001	-57.770049	-57.42503	-3.01044
9.5418604098e-001	1.5014769947e+002	5.6720419912e-002	4.3330820074e-001	-57.677572	-57.39478	-3.01007
9.5839923323e-001	1.6443640327e+002	5.1577204369e-002	4.3330820074e-001	-55.743784	-56.83581	-3.00701
9.6201302578e-001	1.8020056948e+002	4.7089156612e-002	4.3330820074e-001	-55.886213	-56.87895	-3.00734
9.6517879936e-001	1.9757046542e+002	4.3109963074e-002	4.3330820074e-001	-57.551297	-57.33119	-3.01196
9.6822406680e-001	2.1664397143e+002	3.9341132529e-002	4.3330820074e-001	-57.525302	-57.31528	-3.00978
9.7105783732e-001	2.3761292984e+002	3.5835041897e-002	4.3330820074e-001	-57.474470	-57.29512	-3.01168
9.7360563408e-001	2.6069024116e+002	3.2685143419e-002	4.3330820074e-001	-57.453950	-57.28349	-3.00829
9.7597402316e-001	2.8606338865e+002	2.9752484848e-002	4.3330820074e-001	-57.404294	-57.26131	-3.01020
9.7811122686e-001	3.1398216430e+002	2.7108796202e-002	4.3330820074e-001	-57.380645	-57.25025	-3.01035
9.8004880832e-001	3.4469755491e+002	2.4705839615e-002	4.3330820074e-001	-57.371476	-57.24750	-3.00999
9.8184880174e-001	3.7847219456e+002	2.2481976170e-002	4.3330820074e-001	-57.329561	-57.22382	-3.01061
9.8349579976e-001	4.1562223030e+002	2.0446916824e-002	4.3330820074e-001	-57.058163	-57.03403	-3.01025
