Data set for transition bands 25%..45%, using the "Blackman-Nuttall" window
----------------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.4612227849e-001	1.9946270206e+001	3.2435114932e-001	2.9859621278e-001	-49.142930	-45.59721	-3.05899
7.5686061876e-001	2.0253170651e+001	3.1239869733e-001	2.9859621278e-001	-39.444975	-43.48127	-3.00757
7.5872481455e-001	2.0809510624e+001	3.0859541177e-001	2.9859621278e-001	-42.058003	-43.07790	-3.01058
7.6635362747e-001	2.1220429145e+001	2.9964535994e-001	2.9859621278e-001	-40.804888	-41.73198	-3.01161
7.7332894171e-001	2.1659894689e+001	2.9137920275e-001	2.9859621278e-001	-39.969558	-40.52058	-3.01242
7.7988515142e-001	2.2122142099e+001	2.8357996801e-001	2.9859621278e-001	-39.409788	-39.41728	-2.99861
7.7467615263e-001	2.2939020369e+001	2.8669257657e-001	2.9859621278e-001	-50.958931	-46.01439	-2.99776
7.8168713782e-001	2.3415277699e+001	2.7825932308e-001	2.9859621278e-001	-49.173090	-45.45238	-3.00797
7.8925039713e-001	2.3886619654e+001	2.6973713567e-001	2.9859621278e-001	-46.443798	-44.52083	-3.00462
7.9285185387e-001	2.4491460384e+001	2.6494371623e-001	2.9859621278e-001	-43.369536	-43.71622	-3.02166
7.9991317499e-001	2.5003517117e+001	2.5702125310e-001	2.9859621278e-001	-41.962520	-42.62486	-3.02563
8.0632074914e-001	2.5548966795e+001	2.4977866213e-001	2.9859621278e-001	-40.974012	-41.50520	-3.02970
8.1239520214e-001	2.6118669646e+001	2.4291653015e-001	2.9859621278e-001	-40.157398	-40.41328	-2.95979

6.3847795613e-001	1.5872373594e+001	4.5671154747e-001	3.6676836192e-001	-49.507436	-44.79774	-3.01498
6.4153287923e-001	1.6270694470e+001	4.5130203492e-001	3.6676836192e-001	-45.262445	-45.17496	-3.00723
6.4285273646e-001	1.6724407356e+001	4.4746779008e-001	3.6676836192e-001	-49.408750	-47.06749	-3.00746
6.4221486324e-001	1.7243249261e+001	4.4547487524e-001	3.6676836192e-001	-58.148876	-51.42414	-3.00726
6.4018402184e-001	1.7816888122e+001	4.4486137811e-001	3.6676836192e-001	-62.090953	-61.75426	-3.00648
6.5342028045e-001	1.7979652697e+001	4.3113141511e-001	3.6676836192e-001	-67.629880	-55.95511	-3.01083
6.6581543099e-001	1.8174282595e+001	4.1820448398e-001	3.6676836192e-001	-55.226503	-54.23740	-3.01776
6.7948547639e-001	1.8342907635e+001	4.0423363010e-001	3.6676836192e-001	-48.286845	-50.52403	-3.01427
6.9205138933e-001	1.8550141956e+001	3.9130024879e-001	3.6676836192e-001	-44.353785	-47.16643	-3.00758
7.0323176804e-001	1.8802877883e+001	3.7966074827e-001	3.6676836192e-001	-41.892120	-44.44630	-2.99672
6.9286946894e-001	1.9656609362e+001	3.8715252028e-001	3.6676836192e-001	-70.139841	-50.38149	-3.00140
7.0050190812e-001	2.0025710511e+001	3.7554656837e-001	3.6676836192e-001	-48.806908	-49.72775	-3.01711
7.0441460210e-001	2.0511911358e+001	3.7019180798e-001	3.6676836192e-001	-52.406557	-51.25844	-3.01327
7.0858425151e-001	2.1002945722e+001	3.6422575631e-001	3.6676836192e-001	-55.824651	-53.48190	-3.01409
7.1554326398e-001	2.1422642127e+001	3.5572398639e-001	3.6676836192e-001	-55.120675	-54.65779	-3.01356
7.2524084714e-001	2.1770274180e+001	3.4479757603e-001	3.6676836192e-001	-50.964398	-50.96169	-3.01159
7.3447636541e-001	2.2141424309e+001	3.3433954558e-001	3.6676836192e-001	-48.188388	-49.40637	-3.01101
7.4374431962e-001	2.2521480831e+001	3.2390618762e-001	3.6676836192e-001	-45.771739	-47.42428	-3.00990
7.5260357578e-001	2.2924060814e+001	3.1389909516e-001	3.6676836192e-001	-43.881622	-45.48604	-3.00803
7.4562165632e-001	2.3832880783e+001	3.1842798951e-001	3.6676836192e-001	-77.903934	-51.39607	-3.00841
7.5169823522e-001	2.4349427135e+001	3.1082736241e-001	3.6676836192e-001	-51.543712	-51.58660	-3.00937
7.5716083883e-001	2.4898968728e+001	3.0410283147e-001	3.6676836192e-001	-52.601967	-52.39424	-3.00964
7.6415962331e-001	2.5411051798e+001	2.9601907791e-001	3.6676836192e-001	-51.226483	-52.36335	-3.01111
7.7186803297e-001	2.5911997787e+001	2.8734603923e-001	3.6676836192e-001	-49.082027	-49.63462	-3.01393
7.7954521811e-001	2.6426513263e+001	2.7876741459e-001	3.6676836192e-001	-47.181569	-48.26972	-3.00890
7.8721841473e-001	2.6953995880e+001	2.7025737781e-001	3.6676836192e-001	-45.414493	-46.65973	-3.00314
7.8284328630e-001	2.7917774536e+001	2.7299946165e-001	3.6676836192e-001	-70.779011	-51.75955	-3.00474
7.8891107910e-001	2.8534140578e+001	2.6452590744e-001	3.6676836192e-001	-51.317589	-51.66427	-3.01229
7.9485638119e-001	2.9170334632e+001	2.5745111415e-001	3.6676836192e-001	-50.819194	-51.64774	-3.01112
8.0155385846e-001	2.9794396435e+001	2.4965254404e-001	3.6676836192e-001	-49.110184	-49.46874	-3.01013
8.0817492991e-001	3.0436811283e+001	2.4196737839e-001	3.6676836192e-001	-47.565110	-48.36032	-3.01006

6.0626717414e-001	1.4419081839e+001	4.9545339928e-001	3.3362706254e-001	-55.144687	-77.01710	-3.01127
6.3935152809e-001	1.4083129678e+001	4.6459452458e-001	3.3362706254e-001	-37.357454	-42.79502	-3.00454
6.5300896481e-001	1.4202243911e+001	4.4993382362e-001	3.3362706254e-001	-35.143471	-37.68683	-3.00020
6.4189973313e-001	1.4881480517e+001	4.5629015408e-001	3.3362706254e-001	-43.516193	-43.10210	-2.99897
6.4825401310e-001	1.5177678386e+001	4.4804121628e-001	3.3362706254e-001	-44.573492	-41.83012	-2.99352
6.5017734704e-001	1.5586763669e+001	4.4277335878e-001	3.3362706254e-001	-50.952068	-42.83202	-3.01098
6.5105189385e-001	1.6032801024e+001	4.3936744311e-001	3.3362706254e-001	-46.550703	-45.15539	-3.00772
6.5069490376e-001	1.6522844996e+001	4.3713579016e-001	3.3362706254e-001	-55.710293	-49.77387	-3.00815
6.5348380444e-001	1.6945899639e+001	4.3234015783e-001	3.3362706254e-001	-68.633680	-56.16118	-3.00945
6.7080191835e-001	1.7003659028e+001	4.1502305488e-001	3.3362706254e-001	-48.458935	-51.88758	-3.01570
6.7575212423e-001	1.7385472108e+001	4.0858152455e-001	3.3362706254e-001	-50.354991	-50.66514	-3.02032
6.8841398864e-001	1.7577675641e+001	3.9549359811e-001	3.3362706254e-001	-45.390335	-47.62159	-3.02817
6.9972060014e-001	1.7812451613e+001	3.8367632721e-001	3.3362706254e-001	-42.493348	-44.93233	-3.03580
7.0984535511e-001	1.8085138433e+001	3.7298456852e-001	3.3362706254e-001	-40.594117	-42.71255	-2.98733
7.1895318034e-001	1.8391713702e+001	3.6327723337e-001	3.3362706254e-001	-39.342366	-40.89116	-2.97528
7.0740685353e-001	1.9252661212e+001	3.7199005815e-001	3.3362706254e-001	-60.429418	-47.98171	-2.97872
7.1365467824e-001	1.9656633456e+001	3.6084276298e-001	3.3362706254e-001	-69.191035	-48.28322	-3.08711
7.1852521532e-001	2.0109092304e+001	3.5468491642e-001	3.3362706254e-001	-49.273114	-49.70126	-3.00386
7.2550859782e-001	2.0512998217e+001	3.4618462366e-001	3.3362706254e-001	-49.440653	-50.38850	-3.00850
7.3551217250e-001	2.0841024587e+001	3.3491791348e-001	3.3362706254e-001	-46.064986	-49.17608	-3.00971
7.4171484849e-001	2.1286741288e+001	3.2714625465e-001	3.3362706254e-001	-46.039917	-46.96350	-3.00992
7.5042697305e-001	2.1670800006e+001	3.1717470044e-001	3.3362706254e-001	-43.967944	-45.34861	-3.00980
7.5859662379e-001	2.2080540451e+001	3.0776631910e-001	3.3362706254e-001	-42.463080	-43.74004	-3.00718
7.6627508976e-001	2.2515060676e+001	2.9887539605e-001	3.3362706254e-001	-41.322142	-42.25340	-3.00446
