Data set for transition bands 0.5%..25%, using the "Nuttall" window
-------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
8.1016237938e-001	3.4986783787e+001	2.3691262411e-001	4.1410939259e-001	-53.700574	-53.40866	-3.01186
8.2418225700e-001	3.7830799359e+001	2.1935573110e-001	4.1410939259e-001	-53.698664	-53.35760	-3.01177
8.3837737508e-001	4.0909287368e+001	2.0182446321e-001	4.1410939259e-001	-52.606433	-52.73796	-3.00953
8.5144845742e-001	4.4309391516e+001	1.8582247265e-001	4.1410939259e-001	-51.996200	-52.49971	-3.00862
8.6299437916e-001	4.8088238306e+001	1.7121561548e-001	4.1410939259e-001	-52.334778	-52.60346	-3.01030
8.7388497911e-001	5.2237844097e+001	1.5770016023e-001	4.1410939259e-001	-52.158651	-52.60377	-3.00964
8.8360070055e-001	5.6829803322e+001	1.4535708568e-001	4.1410939259e-001	-52.775604	-52.87412	-3.00986
8.9281721622e-001	6.1867466741e+001	1.3380105764e-001	4.1410939259e-001	-53.220771	-53.14000	-3.01085
9.0177612449e-001	6.7378112730e+001	1.2267474151e-001	4.1410939259e-001	-53.019727	-52.97613	-3.01094
9.0981905957e-001	7.3460728271e+001	1.1258952906e-001	4.1410939259e-001	-53.051712	-53.03566	-3.01009
9.1752078937e-001	8.0128503500e+001	1.0302323506e-001	4.1410939259e-001	-52.760666	-52.85757	-3.01029
9.2435954187e-001	8.7489251635e+001	9.4456942748e-002	4.1410939259e-001	-52.991125	-52.96394	-3.01040
9.3076327571e-001	9.5576049611e+001	8.6461987868e-002	4.1410939259e-001	-52.982058	-52.95914	-3.01038
9.3667490235e-001	1.0447012562e+002	7.9085214830e-002	4.1410939259e-001	-52.867575	-52.93247	-3.01017
9.4203038311e-001	1.1426382962e+002	7.2380722271e-002	4.1410939259e-001	-53.082267	-53.05649	-3.01030
9.4704937372e-001	1.2502410370e+002	6.6125522530e-002	4.1410939259e-001	-52.973545	-52.98817	-3.01008
9.5163471677e-001	1.3686385829e+002	6.0396191855e-002	4.1410939259e-001	-52.962224	-52.98082	-3.01021
9.5582182662e-001	1.4989073793e+002	5.5164771725e-002	4.1410939259e-001	-53.028356	-53.01985	-3.01041
9.5970452146e-001	1.6421275433e+002	5.0325926265e-002	4.1410939259e-001	-52.923017	-52.95817	-3.01027
9.6322692794e-001	1.7997347257e+002	4.5924536930e-002	4.1410939259e-001	-52.979593	-52.97106	-3.01046
9.6644638721e-001	1.9731133266e+002	4.1900268973e-002	4.1410939259e-001	-52.995623	-52.99805	-3.01027
9.6941178623e-001	2.1637854010e+002	3.8198522779e-002	4.1410939259e-001	-52.957033	-52.97601	-3.01029
9.7210778823e-001	2.3735628967e+002	3.4830533839e-002	4.1410939259e-001	-52.995734	-52.99730	-3.01029
9.7458367016e-001	2.6042862744e+002	3.1740364233e-002	4.1410939259e-001	-52.970261	-52.98251	-3.01022
9.7683607161e-001	2.8581094046e+002	2.8925776365e-002	4.1410939259e-001	-53.001757	-53.00020	-3.01033
9.7889782455e-001	3.1372986254e+002	2.6351182157e-002	4.1410939259e-001	-52.998989	-52.99840	-3.01028
