Data set for transition bands 22%..40%
--------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.5655701634e-001	2.6720526182e+001	3.0432763577e-001	5.7991212564e-001	-53.957436	-52.99179	-3.01115
7.6842910254e-001	2.7623083992e+001	2.9075398517e-001	5.7991212564e-001	-50.893543	-51.42013	-3.01304
7.7771346135e-001	2.8657985017e+001	2.7959325712e-001	5.7991212564e-001	-50.139605	-50.47655	-3.00680
7.8360715459e-001	2.9864563669e+001	2.7113730241e-001	5.7991212564e-001	-52.506064	-51.92585	-3.01103
7.9197589329e-001	3.1026436859e+001	2.6054807460e-001	5.7991212564e-001	-52.339552	-52.12438	-3.01102
8.0208750093e-001	3.2167063468e+001	2.4851453109e-001	5.7991212564e-001	-50.173242	-50.66919	-3.01026
8.0803591346e-001	3.3526776565e+001	2.4049950700e-001	5.7991212564e-001	-51.747506	-51.50469	-3.00961
8.1521700297e-001	3.4893017933e+001	2.3149692036e-001	5.7991212564e-001	-52.116276	-51.93979	-3.01100
8.2388468669e-001	3.6252222017e+001	2.2126870896e-001	5.7991212564e-001	-50.616133	-50.93267	-3.00963
8.2961159785e-001	3.7802066882e+001	2.1359689701e-001	5.7991212564e-001	-51.905017	-51.69807	-3.01055
8.3673758786e-001	3.9354135921e+001	2.0467576837e-001	5.7991212564e-001	-51.553827	-51.57593	-3.01065

6.6840874157e-001	1.5275462251e+001	4.2298021889e-001	4.1223811633e-001	-47.383891	-40.15450	-2.99583
6.6947950026e-001	1.6013582374e+001	4.1764583878e-001	4.1223811633e-001	-53.679876	-47.91564	-2.99683
6.9134773486e-001	1.6282404373e+001	3.9475586450e-001	4.1223811633e-001	-45.422605	-45.96418	-3.00295
7.0730628958e-001	1.6710785305e+001	3.7737151397e-001	4.1223811633e-001	-40.085044	-42.40270	-3.01649
7.2021821690e-001	1.7231757593e+001	3.6298821911e-001	4.1223811633e-001	-38.211480	-39.97421	-3.03028
7.3204162441e-001	1.7801114827e+001	3.4985913388e-001	4.1223811633e-001	-37.248305	-38.04874	-3.03948
7.3866291121e-001	1.8523625130e+001	3.4162445833e-001	4.1223811633e-001	-39.032175	-38.46184	-2.98278
7.4073879290e-001	1.9395299323e+001	3.3503045963e-001	4.1223811633e-001	-45.549816	-42.28301	-2.99693
