Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
9.9586990100e-001	1.0646222124e+003	5.4013866311e-003	3.5000000000e-001	-37.547980	-37.54856	-3.01038
9.9624396969e-001	1.1706447160e+003	4.9121913121e-003	3.5000000000e-001	-37.547549	-37.54886	-3.01036
9.9658424129e-001	1.2872695149e+003	4.4671550320e-003	3.5000000000e-001	-37.548349	-37.54875	-3.01035

7.7102535781e-001	2.5109420597e+001	2.8985443428e-001	4.9928877726e-001	-48.387481	-47.59468	-3.01015
7.9178382641e-001	2.6896230119e+001	2.6573879343e-001	4.9928877726e-001	-43.997167	-44.93501	-3.00944
8.0382730540e-001	2.9142578067e+001	2.4902433986e-001	4.9928877726e-001	-47.337870	-47.02038	-3.01176
8.2077760322e-001	3.1394813770e+001	2.2803328566e-001	4.9928877726e-001	-44.956861	-45.18479	-3.00902
8.3305024494e-001	3.4025529879e+001	2.1212656961e-001	4.9928877726e-001	-46.073427	-46.31888	-3.01257
8.4562600885e-001	3.6871469508e+001	1.9615207640e-001	4.9928877726e-001	-46.723995	-46.44178	-3.01126
8.5817143564e-001	3.9965698619e+001	1.8022624374e-001	4.9928877726e-001	-46.410985	-45.92741	-3.00972
8.6977665977e-001	4.3375690336e+001	1.6580430293e-001	4.9928877726e-001	-45.508817	-45.65674	-3.00816
8.8021842304e-001	4.7147251495e+001	1.5235479903e-001	4.9928877726e-001	-45.393354	-45.65066	-3.00995
8.8980388133e-001	5.1303290821e+001	1.4024105850e-001	4.9928877726e-001	-45.608801	-45.75633	-3.00902
8.9858127914e-001	5.5882372795e+001	1.2891257625e-001	4.9928877726e-001	-46.160240	-45.97370	-3.00998
9.0682008888e-001	6.0912125908e+001	1.1844011009e-001	4.9928877726e-001	-46.221016	-46.16276	-3.01064
9.1466562454e-001	6.6428618004e+001	1.0849348950e-001	4.9928877726e-001	-45.951259	-46.02797	-3.01052
9.2176757350e-001	7.2508485471e+001	9.9431384574e-002	4.9928877726e-001	-46.173675	-46.08579	-3.01027
9.2848732780e-001	7.9182090677e+001	9.0927007911e-002	4.9928877726e-001	-45.836415	-45.91793	-3.01017
9.3449915869e-001	8.6539965080e+001	8.3266903801e-002	4.9928877726e-001	-45.974063	-46.02065	-3.01027
9.4009941975e-001	9.4626882165e+001	7.6149145751e-002	4.9928877726e-001	-45.975771	-46.01650	-3.01027
9.4525510102e-001	1.0352183724e+002	6.9597805751e-002	4.9928877726e-001	-45.998175	-45.99816	-3.01019
9.4995143162e-001	1.1331105529e+002	6.3619840457e-002	4.9928877726e-001	-46.070603	-46.07546	-3.01038
9.5430456856e-001	1.2407359559e+002	5.8095359574e-002	4.9928877726e-001	-46.084387	-46.04018	-3.01043
9.5828784797e-001	1.3591364984e+002	5.3026464939e-002	4.9928877726e-001	-46.065573	-46.03374	-3.01027
9.6192839434e-001	1.4893919315e+002	4.8398599510e-002	4.9928877726e-001	-46.064710	-46.05877	-3.01036
9.6528255083e-001	1.6326382641e+002	4.4139533478e-002	4.9928877726e-001	-46.002668	-46.01715	-3.01019
9.6833626734e-001	1.7902385870e+002	4.0255780308e-002	4.9928877726e-001	-46.011508	-46.02503	-3.01025
9.7112583657e-001	1.9636057185e+002	3.6707419753e-002	4.9928877726e-001	-46.057954	-46.04513	-3.01036
9.7368545241e-001	2.1542881897e+002	3.3453414536e-002	4.9928877726e-001	-46.027607	-46.03042	-3.01028
9.7601714324e-001	2.3640557891e+002	3.0489026023e-002	4.9928877726e-001	-46.052473	-46.04430	-3.01034
9.7815182182e-001	2.5947862273e+002	2.7775973798e-002	4.9928877726e-001	-46.033910	-46.03477	-3.01025
9.8009652253e-001	2.8486014376e+002	2.5302750750e-002	4.9928877726e-001	-46.047565	-46.04552	-3.01032
9.8187328631e-001	3.1277913781e+002	2.3043817227e-002	4.9928877726e-001	-46.046488	-46.04441	-3.01031
9.8349503821e-001	3.4348971251e+002	2.0982460588e-002	4.9928877726e-001	-46.036850	-46.03752	-3.01030
9.8497209329e-001	3.7727208035e+002	1.9104509158e-002	4.9928877726e-001	-46.043247	-46.04408	-3.01031
9.8631989358e-001	4.1443219431e+002	1.7391154691e-002	4.9928877726e-001	-46.039009	-46.04082	-3.01032
9.8754837320e-001	4.5530831883e+002	1.5829516205e-002	4.9928877726e-001	-46.036768	-46.03841	-3.01031
9.8866716085e-001	5.0027239511e+002	1.4407198498e-002	4.9928877726e-001	-46.043341	-46.04165	-3.01034
9.8968674702e-001	5.4973270989e+002	1.3110978597e-002	4.9928877726e-001	-46.041335	-46.04215	-3.01031
9.9061557162e-001	6.0413899424e+002	1.1930231095e-002	4.9928877726e-001	-46.042918	-46.04132	-3.01032
9.9146145238e-001	6.6398592003e+002	1.0854839472e-002	4.9928877726e-001	-46.042185	-46.04107	-3.01033
9.9223160452e-001	7.2981760084e+002	9.8757762890e-003	4.9928877726e-001	-46.041164	-46.04169	-3.01031
9.9293288360e-001	8.0223236752e+002	8.9842711607e-003	4.9928877726e-001	-46.040022	-46.04132	-3.01032
9.9357118082e-001	8.8188869073e+002	8.1728147467e-003	4.9928877726e-001	-46.041090	-46.04151	-3.01031
9.9415222880e-001	9.6951058264e+002	7.4341199765e-003	4.9928877726e-001	-46.040420	-46.04160	-3.01035
9.9468099886e-001	1.0658947124e+003	6.7619251329e-003	4.9928877726e-001	-46.040994	-46.04142	-3.01031
9.9516223836e-001	1.1719171950e+003	6.1501417419e-003	4.9928877726e-001	-46.040563	-46.04116	-3.01033
9.9560006855e-001	1.2885420094e+003	5.5935364071e-003	4.9928877726e-001	-46.041446	-46.04137	-3.01030
9.9599848892e-001	1.4168292220e+003	5.0870298625e-003	4.9928877726e-001	-46.040176	-46.04139	-3.01033
9.9636093605e-001	1.5579452028e+003	4.6262583116e-003	4.9928877726e-001	-46.040164	-46.04131	-3.01033
9.9669067330e-001	1.7131727630e+003	4.2070658700e-003	4.9928877726e-001	-46.039833	-46.04137	-3.01035

7.7471132670e-001	2.7488948807e+001	2.8403881372e-001	5.6103237789e-001	-48.797873	-49.63191	-3.01216
7.8835966235e-001	2.9714356427e+001	2.6592839218e-001	5.6103237789e-001	-51.404208	-50.80033	-3.01091
8.0647081049e-001	3.1951757788e+001	2.4378686967e-001	5.6103237789e-001	-48.860387	-49.24283	-3.01032
8.1895826467e-001	3.4611014044e+001	2.2750929617e-001	5.6103237789e-001	-50.671153	-50.59928	-3.01083
8.3284577525e-001	3.7437271733e+001	2.1022634307e-001	5.6103237789e-001	-50.541972	-50.31639	-3.01025
8.4631392222e-001	4.0525649005e+001	1.9334820730e-001	5.6103237789e-001	-49.896194	-49.85244	-3.00997
8.5853393600e-001	4.3943706211e+001	1.7817663163e-001	5.6103237789e-001	-49.623822	-49.76875	-3.01083
8.6958395473e-001	4.7723832916e+001	1.6411708443e-001	5.6103237789e-001	-49.713447	-49.88374	-3.01042
8.8001130055e-001	5.1874183058e+001	1.5106196881e-001	5.6103237789e-001	-49.760366	-49.88790	-3.01073
